title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Software Engineer,Google,Mountain View,California,US,entry,142000,185000,165000,USD,levels
Software Engineer,Google,New York,New York,US,entry,142000,185000,165000,USD,levels
Software Engineer,Google,Seattle,Washington,US,entry,138000,180000,160000,USD,levels
Software Engineer,Meta,Menlo Park,California,US,entry,145000,190000,170000,USD,levels
Software Engineer,Meta,New York,New York,US,entry,145000,190000,170000,USD,levels
Software Engineer,Meta,Seattle,Washington,US,entry,140000,185000,165000,USD,levels
Software Engineer,Amazon,Seattle,Washington,US,entry,120000,165000,145000,USD,levels
Software Engineer,Amazon,New York,New York,US,entry,122000,168000,148000,USD,levels
Software Engineer,Amazon,Austin,Texas,US,entry,115000,158000,138000,USD,levels
Software Engineer,Apple,Cupertino,California,US,entry,135000,178000,158000,USD,levels
Software Engineer,Apple,San Jose,California,US,entry,135000,178000,158000,USD,levels
Software Engineer,Microsoft,Redmond,Washington,US,entry,125000,170000,150000,USD,levels
Software Engineer,Microsoft,New York,New York,US,entry,128000,175000,155000,USD,levels
Software Engineer,Netflix,Los Angeles,California,US,entry,150000,200000,180000,USD,levels
Software Engineer,Nvidia,Sunnyvale,California,US,entry,130000,175000,155000,USD,levels
Software Engineer,Nvidia,Santa Clara,California,US,entry,130000,175000,155000,USD,levels
Software Engineer,Stripe,San Francisco,California,US,entry,140000,185000,165000,USD,levels
Software Engineer,Airbnb,San Francisco,California,US,entry,140000,188000,168000,USD,levels
Software Engineer,Uber,San Francisco,California,US,entry,132000,175000,155000,USD,levels
Software Engineer,Salesforce,San Francisco,California,US,entry,120000,165000,145000,USD,levels
Software Engineer,Adobe,San Jose,California,US,entry,118000,160000,140000,USD,levels
Software Engineer,Coinbase,San Francisco,California,US,entry,140000,185000,165000,USD,levels
Software Engineer,Databricks,San Francisco,California,US,entry,145000,190000,170000,USD,levels
Software Engineer,Palantir,Palo Alto,California,US,entry,130000,172000,155000,USD,levels
Software Engineer,Snowflake,San Mateo,California,US,entry,132000,175000,158000,USD,levels
Software Engineer,DoorDash,San Francisco,California,US,entry,130000,175000,155000,USD,levels
Software Engineer,Lyft,San Francisco,California,US,entry,125000,170000,150000,USD,levels
Software Engineer,Pinterest,San Francisco,California,US,entry,128000,172000,152000,USD,levels
Software Engineer,Snap,Los Angeles,California,US,entry,125000,168000,148000,USD,levels
Software Engineer,Twitter/X,San Francisco,California,US,entry,128000,170000,152000,USD,levels
Software Engineer,LinkedIn,Sunnyvale,California,US,entry,130000,175000,155000,USD,levels
Software Engineer,Oracle,Austin,Texas,US,entry,105000,148000,128000,USD,levels
Software Engineer,Oracle,Redwood City,California,US,entry,110000,155000,135000,USD,levels
Software Engineer,Cisco,San Jose,California,US,entry,108000,150000,130000,USD,levels
Software Engineer,Intel,Santa Clara,California,US,entry,100000,142000,122000,USD,levels
Software Engineer,IBM,New York,New York,US,entry,95000,138000,118000,USD,levels
Software Engineer,PayPal,San Jose,California,US,entry,112000,155000,135000,USD,levels
Software Engineer,Block (Square),San Francisco,California,US,entry,128000,172000,152000,USD,levels
Software Engineer,Robinhood,Menlo Park,California,US,entry,135000,178000,160000,USD,levels
Software Engineer,Tesla,Austin,Texas,US,entry,110000,152000,132000,USD,levels
